run	solution_id	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
1	21	529	128.954755	0.165243	[290.00,450.00,160.00,529.00,328.60,496.80]	[3,3,3,3,3,3,4,4,4,3,0,3,3,0,0,2,3,0,1,4,4,5,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	22	534.9	130.378454	0.164625	[290.00,450.00,160.00,534.90,324.80,496.80]	[3,3,3,3,3,4,4,4,4,3,0,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	23	496.8	75.942882	0.171185	[290.00,450.00,296.20,371.30,348.60,496.80]	[3,2,3,3,3,3,3,4,4,2,0,4,4,0,0,2,3,0,1,3,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	24	511.3	114.705368	0.166805	[290.00,450.00,216.20,511.30,288.60,496.80]	[3,3,2,3,3,3,4,4,4,3,0,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	25	585.2	156.097252	0.163242	[290.00,490.00,160.00,585.20,231.80,496.80]	[3,3,3,3,3,3,3,4,4,3,0,3,3,0,0,2,3,0,1,1,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	26	581.6	142.302514	0.164453	[290.00,450.00,200.00,581.60,231.80,496.80]	[3,3,3,3,3,3,3,4,4,3,0,3,3,0,0,2,3,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	27	496.8	108.381589	0.167252	[290.00,490.00,231.20,459.00,288.60,496.80]	[3,3,3,3,3,3,4,4,4,2,0,3,3,0,0,2,3,0,1,1,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	28	550	178.552725	0.168354	[201.80,550.00,65.00,459.60,487.20,496.80]	[3,2,3,3,3,3,4,4,4,0,1,3,3,3,0,4,4,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	29	496.8	137.596919	0.170364	[201.20,450.00,166.20,457.20,487.20,496.80]	[3,2,3,3,3,3,4,4,4,0,2,3,3,3,0,4,4,0,1,3,4,5,5,5]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	30	508.1	115.94206	0.169841	[201.20,450.00,276.20,508.10,324.80,496.80]	[3,3,2,3,3,4,4,4,4,0,3,3,3,2,0,2,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
2	31	499.9	118.667093	0.171043	[201.20,450.00,240.00,499.90,371.30,496.80]	[3,3,3,3,4,4,4,4,4,0,2,2,3,2,0,3,3,0,1,3,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
