run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
17	15	476.8	118.196142	0.165978	[417.70,268.60,475.00,476.80,450.00,163.60]	[3,5,3,3,3,0,2,1,3,0,0,0,1,0,5,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	16	486.8	151.816165	0.163175	[417.70,323.60,475.00,486.80,485.00,60.00]	[1,3,3,3,3,0,2,1,3,0,0,0,1,0,5,3,0,1,4,3,4,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	17	541.8	164.464225	0.161594	[417.70,268.60,475.00,541.80,485.00,60.00]	[3,3,3,3,3,0,2,1,3,0,0,0,1,0,5,3,0,1,4,3,4,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	18	475	105.648764	0.16756	[417.70,323.60,475.00,421.80,450.00,163.60]	[1,5,3,3,3,0,2,1,3,0,0,0,1,0,5,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	19	541.8	149.994938	0.162803	[417.70,268.60,475.00,541.80,450.00,95.00]	[3,3,3,3,3,0,2,1,3,0,0,0,1,0,5,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	20	475	101.625102	0.168401	[417.70,268.60,475.00,436.80,450.00,203.60]	[3,5,3,3,3,0,2,1,3,0,0,0,1,0,5,3,0,1,4,3,5,2,5,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	1	450	90.909051	0.177343	[425.40,409.50,420.00,179.50,450.00,379.00]	[0,0,1,5,0,3,0,1,3,1,5,5,5,1,1,0,3,3,4,0,5,2,5,5]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	2	490	87.804454	0.185265	[361.00,269.80,278.60,490.00,486.80,379.00]	[2,0,1,5,1,0,0,2,4,1,5,5,5,1,2,0,1,3,4,0,5,3,5,5]	[0,0,1,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	3	450	90.979222	0.176364	[427.20,409.80,420.00,179.80,450.00,379.00]	[0,0,1,5,0,3,0,1,3,1,5,5,5,1,1,0,3,3,4,0,5,2,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	4	533	132.860032	0.171208	[422.70,533.00,420.00,179.80,486.80,213.60]	[0,0,1,1,0,3,0,1,3,1,5,1,4,1,1,0,3,3,4,0,5,2,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	5	486.8	128.809115	0.17243	[422.70,473.00,480.00,179.80,486.80,213.60]	[0,0,1,1,0,3,0,1,3,1,5,1,4,2,1,0,3,3,4,0,5,2,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	6	533	167.197851	0.168722	[522.70,533.00,420.00,179.80,486.80,113.60]	[0,0,1,1,0,3,0,1,3,1,0,1,4,1,1,0,3,3,4,0,5,2,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	7	522.7	163.997321	0.169944	[522.70,473.00,480.00,179.80,486.80,113.60]	[0,0,1,1,0,3,0,1,3,1,0,1,4,2,1,0,3,3,4,0,5,2,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	8	533	167.06651	0.169504	[521.80,533.00,420.00,179.80,486.80,113.60]	[0,0,1,1,0,3,0,1,3,1,0,1,4,1,1,0,3,3,4,0,5,2,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	9	480	116.692108	0.173997	[422.70,473.00,480.00,179.80,450.00,252.20]	[0,0,1,1,0,3,0,1,3,1,5,1,5,2,1,0,3,3,4,0,5,2,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	10	521.8	137.305674	0.170737	[521.80,452.70,420.00,179.80,486.80,193.60]	[0,0,1,1,0,3,0,1,3,1,0,5,4,1,1,0,3,3,4,0,5,2,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
18	11	486.8	106.048015	0.173222	[421.80,452.70,420.00,179.80,486.80,293.60]	[0,0,1,1,0,3,0,1,3,1,5,5,4,1,1,0,3,3,4,0,5,2,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
